 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Procedimento: 0303010010 TRATAMENTO DE DENGUE CLÁSSICA, 0303010029 TRATAMENTO DE DENGUE HEMORRÁGICA
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"52 Goiás";-;261,60;784,80;2616,00;8435,36;42705,60;134849,63;155747,40;300674,37;417983,78;194323,02;77193,84;22749,45;16005,18;14039,44;20995,82;15874,24;34817,07;56861,96;60543,11;118308,12;104479,35;82881,53;57695,94;33730,84;28749,10;26803,96;38920,30;126840,71;273745,63;614198,66;569879,33;556239,93;470333,46;299710,05;123743,75;57826,99;39892,71;39869,69;62049,97;73162,10;80353,55;100219,44;147071,10;129959,14;147147,15;123186,68;69294,17;32844,71;34267,95;27899,39;50731,31;55649,17;58752,59;58379,06;53072,86;69027,92;67551,60;58574,42;52453,38;22803,12;23197,62;23125,47;26322,20;35241,91;63467,62;234168,28;321929,66;439519,49;413368,30;289216,70;115786,80;46269,37;35099,36;25201,70;30435,60;47028,96;73768,79;177906,84;199083,10;239805,58;307322,21;286026,87;152870,19;71267,65;44002,99;46862,29;51243,12;53000,19;79257,45;248824,18;386932,78;502397,39;528645,61;586826,24;327724,54;90191,42;39891,54;33039,27;42485,90;50757,72;83415,93;170396,17;307375,34;313936,48;211562,51;102487,30;33568,18;14907,50;14670,09;21844,69;33918,40;38927,82;44614,57;88155,77;88186,68;135374,61;184059,69;227833,07;177520,76;49651,08;33149,28;20945,10;31197,62;26046,27;58010,25;136732,36;241916,11;272167,89;276463,24;268246,89;151819,63;76970,70;30859,87;28181,09;40009,20;65008,82;121129,61;172636,13;215289,69;267778,63;391582,70;440953,09;218404,09;69226,03;38504,75;31057,40;30412,15;25147,53;53999,56;108839,87;145241,83;160320,42;123924,88;94703,17;44751,52;21222,65;9628,59;10638,68;7230,31;15639,24;14807,14;23740,65;31525,43;15714,23;20609456,33
"53 Distrito Federal";-;-;-;523,20;896,92;2124,80;7333,07;6026,00;9902,21;17455,50;9173,94;4307,86;1396,00;2759,58;1411,42;1138,79;863,28;1008,57;3422,90;5366,29;7753,14;5690,52;5282,20;4600,46;2094,44;1266,12;2042,00;1747,34;2182,68;7998,49;21534,29;50491,22;60704,92;49574,60;55239,33;17059,47;7649,21;4342,03;5666,27;6147,69;5121,00;3655,81;7016,29;16043,87;15170,95;23109,49;27782,90;8952,96;6590,07;4406,38;5419,76;6160,23;3944,54;2637,96;5688,89;5858,63;6407,97;8443,57;7642,14;11812,41;5069,18;2467,06;6116,50;3159,58;2492,33;6603,21;16856,31;20495,95;53173,12;61862,44;71396,38;27744,78;11243,06;6758,26;5319,09;3829,45;4910,42;4569,32;14199,67;23272,26;36116,09;37094,69;68981,99;24452,66;11620,27;3352,81;879,28;1643,10;1911,84;3597,85;3228,74;8409,45;10359,72;23173,67;38039,80;16886,37;5919,88;3736,32;2947,50;4335,73;11011,48;22257,23;33338,40;94645,53;60513,72;59035,24;50694,33;10516,09;4183,27;1709,46;1436,40;1311,92;1236,98;1300,19;7165,51;7726,28;38489,74;21941,01;16205,64;21236,01;5180,91;1798,56;327,76;1271,16;1886,76;2924,06;3786,16;2496,77;2100,27;2155,58;4517,21;2844,29;1406,64;-;979,70;599,52;3454,20;4223,88;13495,50;27303,69;51915,98;77725,42;105062,36;106349,53;21579,03;4947,82;8622,08;11650,89;3261,96;18378,25;26687,16;64672,42;70360,52;75535,28;84477,76;24670,21;16561,40;4715,28;3944,76;6543,04;15726,50;12985,57;5521,16;6947,75;3634,29;2615452,17
"Total";277,60;7610,40;15021,86;40171,53;130001,95;532493,69;1649691,47;2115880,03;4281087,28;6305509,45;3670518,08;1583947,99;667422,21;445244,30;322125,19;327312,72;410578,00;609735,38;1186365,19;1982155,50;3427979,26;3168641,44;2348715,59;1349340,84;790224,84;554850,61;445543,38;519623,32;1015135,65;1779111,62;2817577,44;3557221,73;4931942,60;4627510,34;4061855,05;2607205,01;1802927,18;1432361,08;1158263,33;1056411,08;1316439,51;1835872,96;2542929,34;3512023,52;4427268,14;4427782,82;3340684,80;1824217,29;1029653,61;864430,34;678016,25;736881,45;895255,20;1120338,19;1548864,63;1792482,93;2506243,46;2688934,81;2325452,93;1456792,19;930250,11;680675,00;487163,35;484726,00;629798,30;914866,32;2118645,39;2923716,29;4172328,91;3986853,72;2457857,02;1325328,19;849521,61;632510,64;464716,98;457541,90;486094,42;596185,73;889949,33;997705,45;1450040,66;2127413,83;1904540,33;1124696,68;795379,41;512335,01;506636,11;516484,10;523586,14;571574,25;1155128,54;2030752,94;3908561,26;4584126,82;3816311,06;2118589,52;1228816,16;790220,26;640220,20;733229,50;971090,08;1710577,65;2584766,26;4186503,08;4816872,97;3766634,67;2023584,77;884701,84;524562,57;393022,63;325266,51;373944,15;395989,13;442921,05;879073,16;885581,07;1014386,63;789521,20;801850,37;623895,60;340025,75;286004,84;234419,59;236707,56;225080,28;269233,88;488764,31;575957,22;720590,69;908889,94;941282,31;655674,02;442055,31;275187,06;210621,45;253856,76;311383,74;535964,46;920825,76;1529508,45;2439116,50;3949559,70;4823544,85;2701198,51;1391497,07;745618,46;556021,98;484661,57;462731,68;680027,51;1876755,15;3149287,00;2779786,98;1850784,45;1150475,49;583048,84;393691,51;222229,15;208914,32;160940,29;205527,52;198325,75;290982,70;383738,69;286965,20;238863442,66
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
